GISJOIN,YEAR,NATION,NATIONA,AREANAME,BWJ001,BWJ002,BWL001,BWL002,BWL003,BWL004,BWL005,BWL006,BWL007,BWL008,BWL009,BWL010,BWL011,BWL012,BWL013,BWL014,BWL015
GIS Join Match Code,Data File Year,Nation Name,Nation Code,Area name,Under 10 acres,10 to 19 acres,Under 3 acres,3 to 9 acres,10 to 29 acres,30 to 49 acres,50 to 69 acres,70 to 99 acres,100 to 139 acres,140 to 179 acres,180 to 219 acres,220 to 259 acres,260 to 379 acres,380 to 499 acres,500 to 699 acres,700 to 999 acres,1000 or more acres
"G2","1940","Contiguous United States","2","Contiguous United States",506402,559254,35977,470425,1012971,767289,510305,780743,688163,621578,279577,206759,324084,134703,100702,62992,100531
